source_result_dir,source_git_commit,source_git_dirty,source_dirty_allowed_reason,source_command,source_arrival_mode,source_arrival_rates,source_duration_source,source_accounting_mode
results/round12_global_main,4b99c6caa5b3632ca0436cfba9a204d07cd07ba1,False,,"scripts/run_global_serving_sweep.py --traces results/round6_characterization_synthetic/traces/*.jsonl --wafer-config configs/wafer/wse_like.yaml --arrival-mode poisson --arrival-rate-jobs-per-s 2,4,8,16 --max-jobs 100 --baselines apc_like,pat_like_traffic_only,waferagent_latency_safe,waferagent_adaptive,ideal_next_use_cache --duration-source synthetic --shared-attention-cost-fit results/round10_shared_attention_fit/simulation/shared_attention_cost_fit.json --shared-attention-accounting cohort_stage --out results/round12_global_main --clean-required",poisson,"2,4,8,16",synthetic,cohort_stage
results/round10_existing_cache_gap,84295140648086ff04c8b921131962ceb283e710,False,,"scripts/run_existing_cache_gap.py --traces results/round6_characterization_synthetic/traces/*.jsonl --wafer-config configs/wafer/wse_like.yaml --baselines no_cache,apc_like,kvflow_like,pat_like,waferagent_latency_safe --out results/round10_existing_cache_gap --duration-source synthetic --shared-attention-cost-fit results/round10_shared_attention_fit/simulation/shared_attention_cost_fit.json --shared-attention-accounting cohort_stage --max-jobs 100 --clean-required",,,synthetic,cohort_stage
results/round10_attention_accounting_sweep,84295140648086ff04c8b921131962ceb283e710,False,,"scripts/run_shared_attention_accounting_sweep.py --traces results/round6_characterization_synthetic/traces/*.jsonl --wafer-config configs/wafer/wse_like.yaml --shared-attention-cost-fit results/round10_shared_attention_fit/simulation/shared_attention_cost_fit.json --accounting-modes stage_amortized,cohort_stage,per_member --baselines apc_like,pat_like_traffic_only,waferagent_latency_safe --arrival-mode poisson --arrival-rate-jobs-per-s 2,4,8,16 --max-jobs 100 --out results/round10_attention_accounting_sweep --clean-required",poisson,"2,4,8,16",,
results/round12_controlled_regime_sweep,4b99c6caa5b3632ca0436cfba9a204d07cd07ba1,False,,"scripts/run_controlled_regime_sweep.py --generator strict --reuse-group-size 1,8,64 --shared-prefix-tokens 512,8192,32768 --private-suffix-tokens 128 --decode-tokens 32,512 --num-agents-per-job 2,16 --arrival-mode poisson --arrival-rate-jobs-per-s 2,16 --num-jobs 30 --baselines apc_like,apc_like_with_affinity_placement,pat_like_traffic_only,pat_like_with_affinity_placement,waferagent_latency_safe,waferagent_no_decode_cohort,waferagent_no_affinity_placement,waferagent_no_kv_sharing,waferagent_no_shared_kv_placement,waferagent_adaptive --shared-attention-cost-fit results/round10_shared_attention_fit/simulation/shared_attention_cost_fit.json --shared-attention-accounting cohort_stage --out results/round12_controlled_regime_sweep --clean-required",poisson,"2,16",,cohort_stage
results/round12_adaptive_policy_sweep,5b456c204701171e0f101e0112f537333ce4d3c5,False,,scripts/run_adaptive_policy_sweep.py --wafer-config configs/wafer/wse_like.yaml --arrival-mode poisson --shared-attention-cost-fit results/round10_shared_attention_fit/simulation/shared_attention_cost_fit.json --shared-attention-accounting cohort_stage --arrival-rate-jobs-per-s 4 --num-jobs-per-regime 4 --out results/round12_adaptive_policy_sweep --clean-required,poisson,4,,cohort_stage
results/round10_transient_staging_sweep,f07571b6554af47d509da3094a46a704dd4e3b6a,False,,scripts/run_transient_staging_sweep.py --traces results/round6_characterization_synthetic/traces/*.jsonl --wafer-config configs/wafer/wse_like.yaml --shared-attention-cost-fit results/round10_shared_attention_fit/simulation/shared_attention_cost_fit.json --out results/round10_transient_staging_sweep --clean-required,,,,
results/round10_shared_attention_fit,84295140648086ff04c8b921131962ceb283e710,False,,scripts/fit_shared_attention_cost_model.py --microbench results/round9_shared_attention_microbench_h100/simulation/shared_attention_microbench_summary.csv --out results/round10_shared_attention_fit --clean-required,,,,
results/round9_shared_attention_microbench_h100,c208041d0ec9aed8c0cf2dbf8d2c0ff263372d04,False,,"scripts/run_shared_attention_microbench.py --device cuda:1 --shared-prefix-tokens 512,2048,8192,16384 --private-tokens 64,256,1024 --num-agents 1,2,4,8,16 --warmup-reps 10 --reps 30 --out results/round9_shared_attention_microbench_h100 --clean-required",,,,
results/round11_characterization_h100_hf_mini,78e177b9422f09811e4f421d0deeff42f9646cbc,False,,"scripts/collect_h100_traces.py --model Qwen2.5-7B-Instruct --engine hf --workloads debate,moa,planner_worker_tool,swe_like,rag_like --num-jobs 5 --gpus 0 --max-new-tokens 16 --max-input-tokens 2048 --stop-after-minutes 30 --out results/round11_characterization_h100_hf_mini --seed 11 --clean-required",,,,
results/round11_characterization_h100_vllm_mini,78e177b9422f09811e4f421d0deeff42f9646cbc,False,,"scripts/collect_h100_traces.py --model Qwen2.5-7B-Instruct --engine vllm --workloads debate,moa,planner_worker_tool,swe_like,rag_like --num-jobs 5 --gpus 1 --max-new-tokens 16 --max-input-tokens 2048 --stop-after-minutes 30 --out results/round11_characterization_h100_vllm_mini --seed 31 --clean-required",,,,
results/round12_characterization_h100_hf_10jobs,5007d9d2388469153fea4dca57ce3c15ec8a1ee4,False,,"scripts/collect_h100_traces.py --model Qwen2.5-7B-Instruct --engine hf --workloads debate,moa,planner_worker_tool,swe_like,rag_like --num-jobs 10 --gpus 0 --max-new-tokens 32 --max-input-tokens 4096 --stop-after-minutes 60 --out results/round12_characterization_h100_hf_10jobs --seed 11 --clean-required",,,,
results/round12_characterization_h100_vllm_10jobs,5007d9d2388469153fea4dca57ce3c15ec8a1ee4,False,,"scripts/collect_h100_traces.py --model Qwen2.5-7B-Instruct --engine vllm --workloads debate,moa,planner_worker_tool,swe_like,rag_like --num-jobs 10 --gpus 1 --max-new-tokens 32 --max-input-tokens 4096 --stop-after-minutes 60 --out results/round12_characterization_h100_vllm_10jobs --seed 31 --clean-required",,,,
results/round9_ablation,e1fda3377365586db6adf13d97fb4fb3152574d2,False,,"scripts/run_global_ablation.py --traces results/round6_characterization_synthetic/traces/*.jsonl --wafer-config configs/wafer/wse_like.yaml --arrival-mode poisson --arrival-rate-jobs-per-s 4,8,16 --max-jobs 100 --out results/round9_ablation --duration-source synthetic --shared-attention-cost-fit results/round9_shared_attention_fit/simulation/shared_attention_cost_fit.json --clean-required",poisson,"4,8,16",synthetic,
