reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,split,oracle_best_policy,oracle_best_jct_p99_ms,apc_like_jct_p99_ms,waferagent_adaptive_jct_p99_ms,adaptive_regret_ms,adaptive_slowdown_vs_apc,oracle_speedup_vs_apc,adaptive_speedup_vs_apc,oracle_beneficial,adaptive_beneficial,adaptive_non_worse_than_apc_within_5pct,adaptive_within_5pct_of_oracle
1,512,128,32,2,2.0,test,waferagent_latency_safe,8.051039994466919,49.17049247446721,8.051039994466919,0.0,-0.8362627749020902,0.8362627749020902,0.8362627749020902,True,True,True,True
1,512,128,32,2,16.0,test,waferagent_latency_safe,8.051039994466919,49.17049247446685,8.051039994466919,0.0,-0.836262774902089,0.836262774902089,0.836262774902089,True,True,True,True
1,512,128,32,16,2.0,train,waferagent_latency_safe,8.051039994466919,670.6043731144691,8.051039994466919,0.0,-0.9879943520841122,0.9879943520841122,0.9879943520841122,True,True,True,True
1,512,128,32,16,16.0,train,waferagent_latency_safe,8.051039994466919,670.6043731144675,8.051039994466919,0.0,-0.9879943520841122,0.9879943520841122,0.9879943520841122,True,True,True,True
1,512,128,512,2,2.0,train,waferagent_latency_safe,22.50562172496211,707.8701686049626,22.50562172496211,0.0,-0.9682065684879543,0.9682065684879543,0.9682065684879543,True,True,True,True
1,512,128,512,2,16.0,train,waferagent_latency_safe,22.505621724961884,707.8701686049618,22.505621724961884,0.0,-0.9682065684879546,0.9682065684879546,0.9682065684879546,True,True,True,True
1,512,128,512,16,2.0,train,waferagent_latency_safe,22.50562172496211,10348.735370844961,22.50562172496211,0.0,-0.9978252780732643,0.9978252780732643,0.9978252780732643,True,True,True,True
1,512,128,512,16,16.0,train,waferagent_latency_safe,22.505621724961884,10348.735370844963,22.505621724961884,0.0,-0.9978252780732643,0.9978252780732643,0.9978252780732643,True,True,True,True
1,8192,128,32,2,2.0,train,waferagent_latency_safe,27.20127374691765,737.2367782067515,27.20127374691765,0.0,-0.9631037482786985,0.9631037482786985,0.9631037482786985,True,True,True,True
1,8192,128,32,2,16.0,train,waferagent_latency_safe,27.201273746917195,737.2367782067518,27.201273746917195,0.0,-0.963103748278699,0.963103748278699,0.963103748278699,True,True,True,True
1,8192,128,32,16,2.0,validation,apc_like,10808.94068732675,10808.94068732675,10808.94068732675,0.0,0.0,0.0,0.0,False,False,True,True
1,8192,128,32,16,16.0,validation,apc_like,10808.94068732675,10808.94068732675,10808.94068732675,0.0,0.0,0.0,0.0,False,False,True,True
1,8192,128,512,2,2.0,validation,waferagent_latency_safe,41.64745961910921,11059.604474478943,41.64745961910921,0.0,-0.9962342722368405,0.9962342722368405,0.9962342722368405,True,True,True,True
1,8192,128,512,2,16.0,validation,waferagent_latency_safe,41.64745961910842,11059.604474478945,41.64745961910842,0.0,-0.9962342722368405,0.9962342722368405,0.9962342722368405,True,True,True,True
1,8192,128,512,16,2.0,train,apc_like,165442.209529199,165442.209529199,165442.209529199,0.0,0.0,0.0,0.0,False,False,True,True
1,8192,128,512,16,16.0,train,apc_like,165442.209529199,165442.209529199,165442.209529199,0.0,0.0,0.0,0.0,False,False,True,True
1,32768,128,32,2,2.0,train,waferagent_latency_safe,72.24920599897268,2937.64281170538,72.24920599897268,0.0,-0.9754057213112883,0.9754057213112883,0.9754057213112883,True,True,True,True
1,32768,128,32,2,16.0,train,waferagent_latency_safe,72.24920599897246,2937.64281170538,72.24920599897246,0.0,-0.9754057213112883,0.9754057213112883,0.9754057213112883,True,True,True,True
1,32768,128,32,16,2.0,train,apc_like,43675.41321426539,43675.41321426539,43675.41321426539,0.0,0.0,0.0,0.0,False,False,True,True
1,32768,128,32,16,16.0,train,apc_like,43675.41321426538,43675.41321426538,43675.41321426538,0.0,0.0,0.0,0.0,False,False,True,True
1,32768,128,512,2,2.0,train,waferagent_latency_safe,86.64307926006768,44183.722726566484,86.64307926006768,0.0,-0.9980390271821081,0.9980390271821081,0.9980390271821081,True,True,True,True
1,32768,128,512,2,16.0,train,waferagent_latency_safe,86.64307926006722,44183.72272656648,86.64307926006722,0.0,-0.9980390271821081,0.9980390271821081,0.9980390271821081,True,True,True,True
