wave_id,baseline,scheduler,seed_state_id,operator_ids,region_ids,start_time,end_time,batch_size,materialization_bytes,movement_byte_hop,benefit,wait_penalty,dynamic_hot_state_probability,state_policy
1,WaferStateFlow,WaferStateFlow,S_task,"[""O_analyst_2"", ""O_analyst_3"", ""O_analyst_4"", ""O_analyst_5"", ""O_analyst_6"", ""O_analyst_7"", ""O_analyst_8"", ""O_analyst_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",4.168412224079999,8.374264392479999,8,12376,73835520,2250631.958106622,100.04189337791998,0.0,dynamic
2,WaferStateFlow,WaferStateFlow,S_task,"[""O_researcher_0"", ""O_researcher_1"", ""O_researcher_10"", ""O_researcher_11"", ""O_researcher_12"", ""O_researcher_13"", ""O_researcher_14"", ""O_researcher_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",8.374264392479999,12.542676616559998,8,16500,74548224,2244194.0117697204,133.98823027967998,0.0,dynamic
3,WaferStateFlow,WaferStateFlow,S_task,"[""O_researcher_2"", ""O_researcher_3"", ""O_researcher_4"", ""O_researcher_5"", ""O_researcher_6"", ""O_researcher_7"", ""O_researcher_8"", ""O_researcher_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",12.542676616559998,16.748528784959998,8,12376,73835520,2244127.3171741352,200.68282586495997,0.0,dynamic
4,WaferStateFlow,WaferStateFlow,S_task,"[""O_trader_0"", ""O_trader_1"", ""O_trader_10"", ""O_trader_11"", ""O_trader_12"", ""O_trader_13"", ""O_trader_14"", ""O_trader_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",16.748528784959998,19.898861933999996,8,15568,86387712,2244060.0235394407,267.97646055935996,0.0,dynamic
5,WaferStateFlow,WaferStateFlow,S_task,"[""O_trader_2"", ""O_trader_3"", ""O_trader_4"", ""O_trader_5"", ""O_trader_6"", ""O_trader_7"", ""O_trader_8"", ""O_trader_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",19.898861933999996,23.008875188959994,8,15588,87743488,2244009.618209056,318.38179094399993,0.0,dynamic
6,WaferStateFlow,WaferStateFlow,S_task,"[""O_risk_0"", ""O_risk_1"", ""O_risk_10"", ""O_risk_11"", ""O_risk_12"", ""O_risk_13"", ""O_risk_14"", ""O_risk_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",23.008875188959994,26.893605053279995,8,11068,44343296,2243959.8579969765,368.1420030233599,0.0,dynamic
7,WaferStateFlow,WaferStateFlow,S_task,"[""O_risk_2"", ""O_risk_3"", ""O_risk_4"", ""O_risk_5"", ""O_risk_6"", ""O_risk_7"", ""O_risk_8"", ""O_risk_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",26.893605053279995,30.812894854799996,8,7620,43539456,2237708.8511595735,215.14884042623996,0.0,dynamic
8,WaferStateFlow,WaferStateFlow,,"[""O_manager""]","[""R_0_0""]",30.812894854799996,51.460910547599994,1,31596,118947840,0.0,4.0,0.0,dynamic
0,WaferStateFlow,WaferStateFlow,S_task,"[""O_analyst_0"", ""O_analyst_1"", ""O_analyst_10"", ""O_analyst_11"", ""O_analyst_12"", ""O_analyst_13"", ""O_analyst_14"", ""O_analyst_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",0.0,4.168412224079999,8,22900,74548224,2257136.0,0.0,0.25,static
1,WaferStateFlow,WaferStateFlow,S_task,"[""O_analyst_2"", ""O_analyst_3"", ""O_analyst_4"", ""O_analyst_5"", ""O_analyst_6"", ""O_analyst_7"", ""O_analyst_8"", ""O_analyst_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",4.168412224079999,8.374264392479999,8,12376,73835520,2250631.958106622,100.04189337791998,0.25,static
2,WaferStateFlow,WaferStateFlow,S_task,"[""O_researcher_0"", ""O_researcher_1"", ""O_researcher_10"", ""O_researcher_11"", ""O_researcher_12"", ""O_researcher_13"", ""O_researcher_14"", ""O_researcher_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",8.374264392479999,12.542676616559998,8,16500,74548224,2244194.0117697204,133.98823027967998,0.25,static
3,WaferStateFlow,WaferStateFlow,S_task,"[""O_researcher_2"", ""O_researcher_3"", ""O_researcher_4"", ""O_researcher_5"", ""O_researcher_6"", ""O_researcher_7"", ""O_researcher_8"", ""O_researcher_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",12.542676616559998,16.748528784959998,8,12376,73835520,2244127.3171741352,200.68282586495997,0.25,static
4,WaferStateFlow,WaferStateFlow,S_task,"[""O_trader_0"", ""O_trader_1"", ""O_trader_10"", ""O_trader_11"", ""O_trader_12"", ""O_trader_13"", ""O_trader_14"", ""O_trader_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",16.748528784959998,19.898861933999996,8,15568,86387712,2244060.0235394407,267.97646055935996,0.25,static
5,WaferStateFlow,WaferStateFlow,S_task,"[""O_trader_2"", ""O_trader_3"", ""O_trader_4"", ""O_trader_5"", ""O_trader_6"", ""O_trader_7"", ""O_trader_8"", ""O_trader_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",19.898861933999996,23.008875188959994,8,15588,87743488,2244009.618209056,318.38179094399993,0.25,static
6,WaferStateFlow,WaferStateFlow,S_task,"[""O_risk_0"", ""O_risk_1"", ""O_risk_10"", ""O_risk_11"", ""O_risk_12"", ""O_risk_13"", ""O_risk_14"", ""O_risk_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",23.008875188959994,26.893605053279995,8,11068,44343296,2243959.8579969765,368.1420030233599,0.25,static
7,WaferStateFlow,WaferStateFlow,S_task,"[""O_risk_2"", ""O_risk_3"", ""O_risk_4"", ""O_risk_5"", ""O_risk_6"", ""O_risk_7"", ""O_risk_8"", ""O_risk_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",26.893605053279995,30.812894854799996,8,7620,43539456,2237708.8511595735,215.14884042623996,0.25,static
8,WaferStateFlow,WaferStateFlow,,"[""O_manager""]","[""R_0_0""]",30.812894854799996,51.460910547599994,1,31596,118947840,0.0,4.0,0.25,static
0,WaferStateFlow,WaferStateFlow,S_task,"[""O_analyst_0"", ""O_analyst_1"", ""O_analyst_10"", ""O_analyst_11"", ""O_analyst_12"", ""O_analyst_13"", ""O_analyst_14"", ""O_analyst_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",0.0,4.168412224079999,8,22900,74548224,2257136.0,0.0,0.25,dynamic
1,WaferStateFlow,WaferStateFlow,S_task,"[""O_analyst_2"", ""O_analyst_3"", ""O_analyst_4"", ""O_analyst_5"", ""O_analyst_6"", ""O_analyst_7"", ""O_analyst_8"", ""O_analyst_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",4.168412224079999,8.374264392479999,8,12376,73835520,2250631.958106622,100.04189337791998,0.25,dynamic
2,WaferStateFlow,WaferStateFlow,S_task,"[""O_researcher_0"", ""O_researcher_1"", ""O_researcher_10"", ""O_researcher_11"", ""O_researcher_12"", ""O_researcher_13"", ""O_researcher_14"", ""O_researcher_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",8.374264392479999,12.542676616559998,8,16500,74548224,2244194.0117697204,133.98823027967998,0.25,dynamic
3,WaferStateFlow,WaferStateFlow,S_task,"[""O_researcher_2"", ""O_researcher_3"", ""O_researcher_4"", ""O_researcher_5"", ""O_researcher_6"", ""O_researcher_7"", ""O_researcher_8"", ""O_researcher_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",12.542676616559998,16.748528784959998,8,12376,73835520,2244127.3171741352,200.68282586495997,0.25,dynamic
4,WaferStateFlow,WaferStateFlow,S_task,"[""O_trader_0"", ""O_trader_1"", ""O_trader_10"", ""O_trader_11"", ""O_trader_12"", ""O_trader_13"", ""O_trader_14"", ""O_trader_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",16.748528784959998,19.898861933999996,8,15568,86387712,2244060.0235394407,267.97646055935996,0.25,dynamic
5,WaferStateFlow,WaferStateFlow,S_task,"[""O_trader_2"", ""O_trader_3"", ""O_trader_4"", ""O_trader_5"", ""O_trader_6"", ""O_trader_7"", ""O_trader_8"", ""O_trader_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",19.898861933999996,23.008875188959994,8,15588,87743488,2244009.618209056,318.38179094399993,0.25,dynamic
6,WaferStateFlow,WaferStateFlow,S_task,"[""O_risk_0"", ""O_risk_1"", ""O_risk_10"", ""O_risk_11"", ""O_risk_12"", ""O_risk_13"", ""O_risk_14"", ""O_risk_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",23.008875188959994,26.893605053279995,8,11068,44343296,2243959.8579969765,368.1420030233599,0.25,dynamic
7,WaferStateFlow,WaferStateFlow,S_task,"[""O_risk_2"", ""O_risk_3"", ""O_risk_4"", ""O_risk_5"", ""O_risk_6"", ""O_risk_7"", ""O_risk_8"", ""O_risk_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",26.893605053279995,30.812894854799996,8,7620,43539456,2237708.8511595735,215.14884042623996,0.25,dynamic
8,WaferStateFlow,WaferStateFlow,,"[""O_manager""]","[""R_0_0""]",30.812894854799996,51.460910547599994,1,29828,118947840,0.0,4.0,0.25,dynamic
0,WaferStateFlow,WaferStateFlow,S_task,"[""O_analyst_0"", ""O_analyst_1"", ""O_analyst_10"", ""O_analyst_11"", ""O_analyst_12"", ""O_analyst_13"", ""O_analyst_14"", ""O_analyst_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",0.0,4.168412224079999,8,22900,74548224,2257136.0,0.0,0.5,static
1,WaferStateFlow,WaferStateFlow,S_task,"[""O_analyst_2"", ""O_analyst_3"", ""O_analyst_4"", ""O_analyst_5"", ""O_analyst_6"", ""O_analyst_7"", ""O_analyst_8"", ""O_analyst_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",4.168412224079999,8.374264392479999,8,12376,73835520,2250631.958106622,100.04189337791998,0.5,static
2,WaferStateFlow,WaferStateFlow,S_task,"[""O_researcher_0"", ""O_researcher_1"", ""O_researcher_10"", ""O_researcher_11"", ""O_researcher_12"", ""O_researcher_13"", ""O_researcher_14"", ""O_researcher_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",8.374264392479999,12.542676616559998,8,16500,74548224,2244194.0117697204,133.98823027967998,0.5,static
3,WaferStateFlow,WaferStateFlow,S_task,"[""O_researcher_2"", ""O_researcher_3"", ""O_researcher_4"", ""O_researcher_5"", ""O_researcher_6"", ""O_researcher_7"", ""O_researcher_8"", ""O_researcher_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",12.542676616559998,16.748528784959998,8,12376,73835520,2244127.3171741352,200.68282586495997,0.5,static
4,WaferStateFlow,WaferStateFlow,S_task,"[""O_trader_0"", ""O_trader_1"", ""O_trader_10"", ""O_trader_11"", ""O_trader_12"", ""O_trader_13"", ""O_trader_14"", ""O_trader_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",16.748528784959998,19.898861933999996,8,15568,86387712,2244060.0235394407,267.97646055935996,0.5,static
5,WaferStateFlow,WaferStateFlow,S_task,"[""O_trader_2"", ""O_trader_3"", ""O_trader_4"", ""O_trader_5"", ""O_trader_6"", ""O_trader_7"", ""O_trader_8"", ""O_trader_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",19.898861933999996,23.008875188959994,8,15588,87743488,2244009.618209056,318.38179094399993,0.5,static
6,WaferStateFlow,WaferStateFlow,S_task,"[""O_risk_0"", ""O_risk_1"", ""O_risk_10"", ""O_risk_11"", ""O_risk_12"", ""O_risk_13"", ""O_risk_14"", ""O_risk_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",23.008875188959994,26.893605053279995,8,11068,44343296,2243959.8579969765,368.1420030233599,0.5,static
7,WaferStateFlow,WaferStateFlow,S_task,"[""O_risk_2"", ""O_risk_3"", ""O_risk_4"", ""O_risk_5"", ""O_risk_6"", ""O_risk_7"", ""O_risk_8"", ""O_risk_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",26.893605053279995,30.812894854799996,8,7620,43539456,2237708.8511595735,215.14884042623996,0.5,static
8,WaferStateFlow,WaferStateFlow,,"[""O_manager""]","[""R_0_0""]",30.812894854799996,51.460910547599994,1,31596,118947840,0.0,4.0,0.5,static
0,WaferStateFlow,WaferStateFlow,S_task,"[""O_analyst_0"", ""O_analyst_1"", ""O_analyst_10"", ""O_analyst_11"", ""O_analyst_12"", ""O_analyst_13"", ""O_analyst_14"", ""O_analyst_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",0.0,4.168412224079999,8,22900,74548224,2257136.0,0.0,0.5,dynamic
1,WaferStateFlow,WaferStateFlow,S_task,"[""O_analyst_2"", ""O_analyst_3"", ""O_analyst_4"", ""O_analyst_5"", ""O_analyst_6"", ""O_analyst_7"", ""O_analyst_8"", ""O_analyst_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",4.168412224079999,8.374264392479999,8,12376,73835520,2250631.958106622,100.04189337791998,0.5,dynamic
2,WaferStateFlow,WaferStateFlow,S_task,"[""O_researcher_0"", ""O_researcher_1"", ""O_researcher_10"", ""O_researcher_11"", ""O_researcher_12"", ""O_researcher_13"", ""O_researcher_14"", ""O_researcher_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",8.374264392479999,12.542676616559998,8,16500,74548224,2244194.0117697204,133.98823027967998,0.5,dynamic
3,WaferStateFlow,WaferStateFlow,S_task,"[""O_researcher_2"", ""O_researcher_3"", ""O_researcher_4"", ""O_researcher_5"", ""O_researcher_6"", ""O_researcher_7"", ""O_researcher_8"", ""O_researcher_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",12.542676616559998,16.748528784959998,8,12376,73835520,2244127.3171741352,200.68282586495997,0.5,dynamic
4,WaferStateFlow,WaferStateFlow,S_task,"[""O_trader_0"", ""O_trader_1"", ""O_trader_10"", ""O_trader_11"", ""O_trader_12"", ""O_trader_13"", ""O_trader_14"", ""O_trader_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",16.748528784959998,19.898861933999996,8,15568,86387712,2244060.0235394407,267.97646055935996,0.5,dynamic
5,WaferStateFlow,WaferStateFlow,S_task,"[""O_trader_2"", ""O_trader_3"", ""O_trader_4"", ""O_trader_5"", ""O_trader_6"", ""O_trader_7"", ""O_trader_8"", ""O_trader_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",19.898861933999996,23.008875188959994,8,15588,87743488,2244009.618209056,318.38179094399993,0.5,dynamic
6,WaferStateFlow,WaferStateFlow,S_task,"[""O_risk_0"", ""O_risk_1"", ""O_risk_10"", ""O_risk_11"", ""O_risk_12"", ""O_risk_13"", ""O_risk_14"", ""O_risk_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",23.008875188959994,26.893605053279995,8,11068,44343296,2243959.8579969765,368.1420030233599,0.5,dynamic
7,WaferStateFlow,WaferStateFlow,S_task,"[""O_risk_2"", ""O_risk_3"", ""O_risk_4"", ""O_risk_5"", ""O_risk_6"", ""O_risk_7"", ""O_risk_8"", ""O_risk_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",26.893605053279995,30.812894854799996,8,7620,43539456,2237708.8511595735,215.14884042623996,0.5,dynamic
8,WaferStateFlow,WaferStateFlow,,"[""O_manager""]","[""R_0_0""]",30.812894854799996,51.460910547599994,1,26860,118947840,0.0,4.0,0.5,dynamic
0,WaferStateFlow,WaferStateFlow,S_task,"[""O_analyst_0"", ""O_analyst_1"", ""O_analyst_10"", ""O_analyst_11"", ""O_analyst_12"", ""O_analyst_13"", ""O_analyst_14"", ""O_analyst_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",0.0,4.168412224079999,8,22900,74548224,2257136.0,0.0,0.75,static
1,WaferStateFlow,WaferStateFlow,S_task,"[""O_analyst_2"", ""O_analyst_3"", ""O_analyst_4"", ""O_analyst_5"", ""O_analyst_6"", ""O_analyst_7"", ""O_analyst_8"", ""O_analyst_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",4.168412224079999,8.374264392479999,8,12376,73835520,2250631.958106622,100.04189337791998,0.75,static
2,WaferStateFlow,WaferStateFlow,S_task,"[""O_researcher_0"", ""O_researcher_1"", ""O_researcher_10"", ""O_researcher_11"", ""O_researcher_12"", ""O_researcher_13"", ""O_researcher_14"", ""O_researcher_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",8.374264392479999,12.542676616559998,8,16500,74548224,2244194.0117697204,133.98823027967998,0.75,static
3,WaferStateFlow,WaferStateFlow,S_task,"[""O_researcher_2"", ""O_researcher_3"", ""O_researcher_4"", ""O_researcher_5"", ""O_researcher_6"", ""O_researcher_7"", ""O_researcher_8"", ""O_researcher_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",12.542676616559998,16.748528784959998,8,12376,73835520,2244127.3171741352,200.68282586495997,0.75,static
4,WaferStateFlow,WaferStateFlow,S_task,"[""O_trader_0"", ""O_trader_1"", ""O_trader_10"", ""O_trader_11"", ""O_trader_12"", ""O_trader_13"", ""O_trader_14"", ""O_trader_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",16.748528784959998,19.898861933999996,8,15568,86387712,2244060.0235394407,267.97646055935996,0.75,static
5,WaferStateFlow,WaferStateFlow,S_task,"[""O_trader_2"", ""O_trader_3"", ""O_trader_4"", ""O_trader_5"", ""O_trader_6"", ""O_trader_7"", ""O_trader_8"", ""O_trader_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",19.898861933999996,23.008875188959994,8,15588,87743488,2244009.618209056,318.38179094399993,0.75,static
6,WaferStateFlow,WaferStateFlow,S_task,"[""O_risk_0"", ""O_risk_1"", ""O_risk_10"", ""O_risk_11"", ""O_risk_12"", ""O_risk_13"", ""O_risk_14"", ""O_risk_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",23.008875188959994,26.893605053279995,8,11068,44343296,2243959.8579969765,368.1420030233599,0.75,static
7,WaferStateFlow,WaferStateFlow,S_task,"[""O_risk_2"", ""O_risk_3"", ""O_risk_4"", ""O_risk_5"", ""O_risk_6"", ""O_risk_7"", ""O_risk_8"", ""O_risk_9""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",26.893605053279995,30.812894854799996,8,7620,43539456,2237708.8511595735,215.14884042623996,0.75,static
8,WaferStateFlow,WaferStateFlow,,"[""O_manager""]","[""R_0_0""]",30.812894854799996,51.460910547599994,1,31596,118947840,0.0,4.0,0.75,static
0,WaferStateFlow,WaferStateFlow,S_task,"[""O_analyst_0"", ""O_analyst_1"", ""O_analyst_10"", ""O_analyst_11"", ""O_analyst_12"", ""O_analyst_13"", ""O_analyst_14"", ""O_analyst_15""]","[""R_0_0"", ""R_0_31"", ""R_31_0"", ""R_31_31"", ""R_16_16"", ""R_0_16"", ""R_16_0"", ""R_31_16""]",0.0,4.168412224079999,8,22900,74548224,2257136.0,0.0,0.75,dynamic
