Wrote 10 real-trace policy results to agent_results/local_h100_long/wafer_replay/control_m0.05_c8
policy,effective_prefill_tokens,cache_hit_ratio,oracle_gap
nocache,44178,0.0,59.16129032258065
lru-basic,38769,0.9512195121951219,1.0
lru-system,38769,0.9512195121951219,1.0
kvflow-like,40642,0.6878048780487804,21.13978494623656
asg-retention-v2-graph-only,38676,0.8780487804878049,0.0
asg-retention-v2-online,38676,0.8780487804878049,0.0
asg-retention-v2-trace-stats,38676,0.8780487804878049,0.0
asg-retention-v2-oracle,38676,0.8780487804878049,0.0
asg-placement-v2-online,38676,0.8780487804878049,0.0
asg-prefetch-v2-online,38676,0.8780487804878049,0.0
