policy,prediction_mode,estimator_mode,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,effective_prefill_reduction,cache_hit_ratio,cache_byte_miss,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,state_misses,local_state_hits,remote_state_hits,retained_state_type_distribution,LRU_regret_states_preserved,LRU_regret_tokens_preserved,oracle_gap
nocache,none,none,False,False,basic,none,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,8,0.1,1651962000,,,5.254358151095486e-07,4818392,0.0,0.0,935851458560,1397714000,0,0,0,0,0,0,0,6138,0,0,{},0,0,2.6570804078027455
lru-basic,none,none,False,False,basic,lru,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,8,0.1,1605101000,,,5.40775938710399e-07,4707704,0.02297197903366932,0.5151515151515151,877819068416,1397137000,0,0,0,0,0,0,0,2976,1352,1810,"{""agent_role"": 2, ""assistant_delta"": 1, ""file_context"": 2, ""system_prefix"": 2, ""task_prefix"": 1}",0,0,1.0
lru-system,none,none,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,8,0.1,1605101000,,,5.40775938710399e-07,4707704,0.02297197903366932,0.5151515151515151,877819068416,1397137000,0,0,0,0,0,0,0,2976,2602,560,"{""agent_role"": 2, ""assistant_delta"": 1, ""file_context"": 2, ""system_prefix"": 2, ""task_prefix"": 1}",0,0,1.0
kvflow-like,none,none,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,8,0.1,1608384000,,,5.3967211810115e-07,4722499,0.019901452600784686,0.4338546757901597,885575909376,1401408000,0,0,0,0,0,0,0,3475,2463,200,"{""agent_role"": 2, ""system_prefix"": 1, ""task_prefix"": 2}",0,0,1.221491983172897
asg-retention-v2-graph-only,none,none,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,8,0.1,1573297000,,,5.517076559606991e-07,4640907,0.036834902598211205,0.4714890843923102,842798202880,1366500000,0,0,0,0,0,0,0,3244,2598,296,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",1,159,0.0
asg-retention-v2-online,heuristic,heuristic,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,8,0.1,1573297000,,,5.517076559606991e-07,4640907,0.036834902598211205,0.4714890843923102,842798202880,1366500000,0,0,0,0,0,0,0,3244,2547,347,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",1,159,0.0
asg-retention-v2-trace-stats,trace_stats,trace_stats,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,8,0.1,1573297000,,,5.517076559606991e-07,4640907,0.036834902598211205,0.4714890843923102,842798202880,1366500000,0,0,0,0,0,0,0,3244,2542,352,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",1,159,0.0
asg-retention-v2-oracle,oracle,oracle,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,8,0.1,1573297000,,,5.517076559606991e-07,4640907,0.036834902598211205,0.4714890843923102,842798202880,1366500000,0,0,0,0,0,0,0,3244,2522,372,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",1,159,0.0
asg-placement-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,8,0.1,1587152877,,,5.468912368672851e-07,4640907,0.036834902598211205,0.4714890843923102,842798202880,1353873792,0,2720006144,25165824,0,0,0,0,3244,2594,300,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",1,159,0.0
asg-prefetch-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,8,0.1,1618056577,,,5.364460132842437e-07,4640907,0.036834902598211205,0.4714890843923102,842798202880,1376603125,0,2559574016,44040192,224919552,319501,559719,0,3244,2608,286,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",1,159,0.0
