Wrote 10 real-trace policy results to agent_results/local_h100_long/wafer_replay/opportunity_m0.5_c1
policy,effective_prefill_tokens,cache_hit_ratio,oracle_gap
nocache,2334123,0.0,6.663630873293876
lru-basic,2099677,0.7878787878787878,1.0
lru-system,2099677,0.7878787878787878,1.0
kvflow-like,2269627,0.46835016835016835,5.105568305350888
asg-retention-v2-graph-only,2058354,0.7131313131313132,0.0017393405000603937
asg-retention-v2-online,2058282,0.7292929292929293,0.0
asg-retention-v2-trace-stats,2058282,0.7292929292929293,0.0
asg-retention-v2-oracle,2058282,0.7292929292929293,0.0
asg-placement-v2-online,2058282,0.7292929292929293,0.0
asg-prefetch-v2-online,2058282,0.7292929292929293,0.0
