policy,prediction_mode,estimator_mode,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,effective_prefill_reduction,cache_hit_ratio,cache_byte_miss,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,state_misses,local_state_hits,remote_state_hits,retained_state_type_distribution,LRU_regret_states_preserved,LRU_regret_tokens_preserved,oracle_gap
nocache,none,none,False,False,basic,none,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,4,0.05,667041000,,,1.34924240039218e-07,44178,0.0,0.0,3805806592,31683000,0,0,0,0,0,0,0,410,0,0,{},0,0,59.16129032258065
lru-basic,none,none,False,False,basic,lru,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,4,0.05,666159000,,,1.3510288084376253e-07,38769,0.1224365068586174,0.9512195121951219,969932800,28811000,0,0,0,0,0,0,0,20,211,179,"{""agent_role"": 1, ""assistant_delta"": 1, ""edit_diff"": 1, ""file_context"": 2, ""system_prefix"": 1, ""task_prefix"": 2}",0,0,1.0
lru-system,none,none,False,False,system,lru,static_replica,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,4,0.05,666159000,,,1.3510288084376253e-07,38769,0.1224365068586174,0.9512195121951219,969932800,28811000,0,0,0,0,0,0,0,20,301,89,"{""agent_role"": 1, ""assistant_delta"": 1, ""edit_diff"": 1, ""file_context"": 2, ""system_prefix"": 1, ""task_prefix"": 2}",0,0,1.0
kvflow-like,none,none,False,False,system,kvflow,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,4,0.05,666452000,,,1.350434840018486e-07,40642,0.08003983883380872,0.6878048780487804,1951924224,29818000,0,0,0,0,0,0,0,128,262,20,"{""agent_role"": 3, ""file_context"": 1, ""system_prefix"": 2, ""task_prefix"": 3}",0,0,21.13978494623656
asg-retention-v2-graph-only,none,none,True,False,asg,asg-v2,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,4,0.05,666153000,,,1.3510409770728347e-07,38676,0.12454162705418992,0.8780487804878049,921174016,28724000,0,0,0,0,0,0,0,50,277,83,"{""assistant_delta"": 2, ""edit_diff"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",0,0,0.0
asg-retention-v2-online,heuristic,heuristic,True,False,asg,asg-v2,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,4,0.05,666153000,,,1.3510409770728347e-07,38676,0.12454162705418992,0.8780487804878049,921174016,28724000,0,0,0,0,0,0,0,50,286,74,"{""assistant_delta"": 2, ""edit_diff"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",0,0,0.0
asg-retention-v2-trace-stats,trace_stats,trace_stats,True,False,asg,asg-v2,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,4,0.05,666153000,,,1.3510409770728347e-07,38676,0.12454162705418992,0.8780487804878049,921174016,28724000,0,0,0,0,0,0,0,50,282,78,"{""assistant_delta"": 2, ""edit_diff"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",0,0,0.0
asg-retention-v2-oracle,oracle,oracle,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,4,0.05,666153000,,,1.3510409770728347e-07,38676,0.12454162705418992,0.8780487804878049,921174016,28724000,0,0,0,0,0,0,0,50,274,86,"{""assistant_delta"": 2, ""edit_diff"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",0,0,0.0
asg-placement-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,4,0.05,666200204,,,1.3509452482845532e-07,38676,0.12454162705418992,0.8780487804878049,921174016,27491659,268592,589299712,18874368,0,0,0,0,50,292,68,"{""assistant_delta"": 2, ""edit_diff"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",0,0,0.0
asg-prefetch-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,4,0.05,666200204,,,1.3509452482845532e-07,38676,0.12454162705418992,0.8780487804878049,921174016,27467082,293169,589299712,12582912,6291456,24577,0,0,50,293,67,"{""assistant_delta"": 2, ""edit_diff"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",0,0,0.0
