policy,prediction_mode,estimator_mode,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,effective_prefill_reduction,cache_hit_ratio,cache_byte_miss,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,state_misses,local_state_hits,remote_state_hits,retained_state_type_distribution,LRU_regret_states_preserved,LRU_regret_tokens_preserved,oracle_gap
nocache,none,none,False,False,basic,none,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,2,0.1,1092301000,,,3.8450939805053735e-07,2334123,0.0,0.0,454233686016,768022000,0,0,0,0,0,0,0,2970,0,0,{},0,0,2.6616083089744387
lru-basic,none,none,False,False,basic,lru,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,2,0.1,1098334000,,,3.823973399712656e-07,2280689,0.022892538225277814,0.5151515151515151,426218881024,756295000,0,0,0,0,0,0,0,1440,720,810,"{""agent_role"": 2, ""assistant_delta"": 1, ""file_context"": 3, ""system_prefix"": 2, ""task_prefix"": 1}",0,0,1.0
lru-system,none,none,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,2,0.1,1098334000,,,3.823973399712656e-07,2280689,0.022892538225277814,0.5151515151515151,426218881024,756295000,0,0,0,0,0,0,0,1440,1374,156,"{""agent_role"": 2, ""assistant_delta"": 1, ""file_context"": 3, ""system_prefix"": 2, ""task_prefix"": 1}",0,0,1.0
kvflow-like,none,none,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,2,0.1,1099847000,,,3.818712966439878e-07,2287741,0.019871274992791732,0.432996632996633,429916160000,758717000,0,0,0,0,0,0,0,1684,1202,84,"{""agent_role"": 4, ""file_context"": 1, ""system_prefix"": 4, ""task_prefix"": 1}",0,0,1.2192922445425711
asg-retention-v2-graph-only,none,none,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,2,0.1,1092292000,,,3.845125662368671e-07,2248531,0.03666987558067847,0.47609427609427607,409358827520,746395000,0,0,0,0,0,0,0,1556,1290,124,"{""file_context"": 1, ""summary_state"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",1,146,0.0
asg-retention-v2-online,heuristic,heuristic,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,2,0.1,1092292000,,,3.845125662368671e-07,2248531,0.03666987558067847,0.47609427609427607,409358827520,746395000,0,0,0,0,0,0,0,1556,1207,207,"{""file_context"": 1, ""summary_state"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",1,146,0.0
asg-retention-v2-trace-stats,trace_stats,trace_stats,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,2,0.1,1092292000,,,3.845125662368671e-07,2248531,0.03666987558067847,0.47609427609427607,409358827520,746395000,0,0,0,0,0,0,0,1556,1256,158,"{""file_context"": 1, ""summary_state"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",1,146,0.0
asg-retention-v2-oracle,oracle,oracle,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,2,0.1,1092292000,,,3.845125662368671e-07,2248531,0.03666987558067847,0.47609427609427607,409358827520,746395000,0,0,0,0,0,0,0,1556,1263,151,"{""file_context"": 1, ""summary_state"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",1,146,0.0
asg-placement-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,2,0.1,1097030129,,,3.828518368796779e-07,2248531,0.03666987558067847,0.47609427609427607,409358827520,777106798,100552,1519386624,18874368,0,0,0,0,1556,1246,168,"{""file_context"": 1, ""summary_state"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",1,146,0.0
asg-prefetch-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,2,0.1,1090312252,,,3.852107496999859e-07,2248531,0.03666987558067847,0.47609427609427607,409358827520,776184398,49252,1159200768,12582912,190840832,272394,473796,3,1556,1292,122,"{""file_context"": 1, ""summary_state"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",1,146,0.0
