policy,prediction_mode,estimator_mode,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,effective_prefill_reduction,cache_hit_ratio,cache_byte_miss,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,state_misses,local_state_hits,remote_state_hits,retained_state_type_distribution,LRU_regret_states_preserved,LRU_regret_tokens_preserved,oracle_gap
nocache,none,none,False,False,basic,none,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,8,0.5,667041000,,,1.34924240039218e-07,44178,0.0,0.0,3805806592,31683000,0,0,0,0,0,0,0,410,0,0,{},0,0,
lru-basic,none,none,False,False,basic,lru,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,8,0.5,665974000,,,1.351404108869115e-07,36919,0.16431255375978993,1.0,0,27445000,0,0,0,0,0,0,0,0,129,281,"{""agent_role"": 3, ""assistant_delta"": 18, ""edit_diff"": 5, ""file_context"": 7, ""system_prefix"": 3, ""task_prefix"": 3, ""test_failure_summary"": 2, ""tool_observation"": 2}",0,0,
lru-system,none,none,False,False,system,lru,static_replica,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,8,0.5,665974000,,,1.351404108869115e-07,36919,0.16431255375978993,1.0,0,27445000,0,0,0,0,0,0,0,0,278,132,"{""agent_role"": 3, ""assistant_delta"": 18, ""edit_diff"": 5, ""file_context"": 7, ""system_prefix"": 3, ""task_prefix"": 3, ""test_failure_summary"": 2, ""tool_observation"": 2}",0,0,
kvflow-like,none,none,False,False,system,kvflow,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,8,0.5,666045000,,,1.3512600499966217e-07,37681,0.14706414957671243,0.9707317073170731,399507456,28065000,0,0,0,0,0,0,0,12,267,131,"{""agent_role"": 10, ""edit_diff"": 3, ""system_prefix"": 10, ""task_prefix"": 10, ""test_failure_summary"": 5}",0,0,
asg-retention-v2-graph-only,none,none,True,False,asg,asg-v2,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,8,0.5,665974000,,,1.351404108869115e-07,36919,0.16431255375978993,1.0,0,27445000,0,0,0,0,0,0,0,0,287,123,"{""agent_role"": 1, ""assistant_delta"": 2, ""edit_diff"": 2, ""system_prefix"": 10, ""task_prefix"": 10, ""test_failure_summary"": 6, ""tool_observation"": 1}",0,0,
asg-retention-v2-online,heuristic,heuristic,True,False,asg,asg-v2,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,8,0.5,665974000,,,1.351404108869115e-07,36919,0.16431255375978993,1.0,0,27445000,0,0,0,0,0,0,0,0,281,129,"{""agent_role"": 10, ""assistant_delta"": 2, ""edit_diff"": 5, ""system_prefix"": 10, ""task_prefix"": 10, ""test_failure_summary"": 3, ""tool_observation"": 1}",0,0,
asg-retention-v2-trace-stats,trace_stats,trace_stats,True,False,asg,asg-v2,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,8,0.5,665974000,,,1.351404108869115e-07,36919,0.16431255375978993,1.0,0,27445000,0,0,0,0,0,0,0,0,283,127,"{""agent_role"": 10, ""assistant_delta"": 15, ""edit_diff"": 4, ""system_prefix"": 10, ""task_prefix"": 10, ""tool_observation"": 1}",0,0,
asg-retention-v2-oracle,oracle,oracle,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,8,0.5,665974000,,,1.351404108869115e-07,36919,0.16431255375978993,1.0,0,27445000,0,0,0,0,0,0,0,0,284,126,"{""agent_role"": 2, ""assistant_delta"": 12, ""edit_diff"": 4, ""system_prefix"": 10, ""task_prefix"": 10, ""test_failure_summary"": 2, ""tool_observation"": 2}",0,0,
asg-placement-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,8,0.5,666262970,,,1.3508179810743496e-07,36919,0.16431255375978993,1.0,0,24626265,2065838,1329070080,25165824,0,0,0,0,0,289,121,"{""agent_role"": 10, ""assistant_delta"": 2, ""edit_diff"": 5, ""system_prefix"": 10, ""task_prefix"": 10, ""test_failure_summary"": 3, ""tool_observation"": 1}",0,0,
asg-prefetch-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,8,0.5,666262970,,,1.3508179810743496e-07,36919,0.16431255375978993,1.0,0,23967857,7274960,1626341376,0,1894252544,5953775,1445905,50,0,301,109,"{""agent_role"": 10, ""assistant_delta"": 2, ""edit_diff"": 5, ""system_prefix"": 10, ""task_prefix"": 10, ""test_failure_summary"": 3, ""tool_observation"": 1}",0,0,
