policy,prediction_mode,estimator_mode,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,effective_prefill_reduction,cache_hit_ratio,cache_byte_miss,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,state_misses,local_state_hits,remote_state_hits,retained_state_type_distribution,LRU_regret_states_preserved,LRU_regret_tokens_preserved,oracle_gap
nocache,none,none,False,False,basic,none,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.5,1651962000,,,5.254358151095486e-07,4818392,0.0,0.0,935851458560,1397714000,0,0,0,0,0,0,0,6138,0,0,{},0,0,6.163397508976422
lru-basic,none,none,False,False,basic,lru,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.5,1527162000,,,5.683745404875187e-07,4333771,0.10057732953234189,0.7878787878787878,681770483712,1280004000,0,0,0,0,0,0,0,1302,2776,2060,"{""agent_role"": 1, ""assistant_delta"": 4, ""edit_diff"": 1, ""file_context"": 2, ""summary_state"": 2, ""system_prefix"": 1, ""task_prefix"": 1}",3,769,1.0
lru-system,none,none,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.5,1527162000,,,5.683745404875187e-07,4333771,0.10057732953234189,0.7878787878787878,681770483712,1280004000,0,0,0,0,0,0,0,1302,4340,496,"{""agent_role"": 1, ""assistant_delta"": 4, ""edit_diff"": 1, ""file_context"": 2, ""summary_state"": 2, ""system_prefix"": 1, ""task_prefix"": 1}",3,769,1.0
kvflow-like,none,none,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.5,1604823000,,,5.408696161508154e-07,4704616,0.023612856737268317,0.44558488106875205,876200067072,1389186000,0,0,0,0,0,0,0,3403,2559,176,"{""agent_role"": 10, ""system_prefix"": 10, ""task_prefix"": 9}",0,0,4.951170397519631
asg-retention-v2-graph-only,none,none,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.5,1530400000,,,5.671719811813905e-07,4240026,0.12003299025899095,0.7038123167155426,632621105152,1287135000,0,0,0,0,0,0,0,1818,4191,129,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",1,1019,0.0011933047082263444
asg-retention-v2-online,heuristic,heuristic,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.5,1530372000,,,5.671823582762884e-07,4239921,0.12005478176121831,0.7204301075268817,632566054912,1287105000,0,0,0,0,0,0,0,1716,4205,217,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",1,1019,7.458154426414652e-05
asg-retention-v2-trace-stats,trace_stats,trace_stats,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.5,1530372000,,,5.671823582762884e-07,4239921,0.12005478176121831,0.7204301075268817,632566054912,1287105000,0,0,0,0,0,0,0,1716,3510,912,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",1,1019,7.458154426414652e-05
asg-retention-v2-oracle,oracle,oracle,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.5,1530371000,,,5.671827288938433e-07,4239914,0.12005623452803338,0.7181492342782665,632562384896,1287104000,0,0,0,0,0,0,0,1730,4167,241,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",1,1019,0.0
asg-placement-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.5,1530589189,,,5.671018756947459e-07,4239921,0.12005478176121831,0.7204301075268817,632566054912,1270416599,155750,4451729408,0,0,0,0,0,1716,4205,217,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",1,1019,7.458154426414652e-05
asg-prefetch-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.5,1530589189,,,5.671018756947459e-07,4239921,0.12005478176121831,0.7204301075268817,632566054912,1234285676,53249,2564292608,0,12062294016,36272181,10848850,62,1716,4315,107,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",1,1019,7.458154426414652e-05
