policy,prediction_mode,estimator_mode,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,effective_prefill_reduction,cache_hit_ratio,cache_byte_miss,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,state_misses,local_state_hits,remote_state_hits,retained_state_type_distribution,LRU_regret_states_preserved,LRU_regret_tokens_preserved,oracle_gap
nocache,none,none,False,False,basic,none,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,2.0,737795000,,,5.63842259706287e-07,436792,0.0,0.0,55663132672,222967000,0,0,0,0,0,0,0,2805,0,0,{},0,0,
lru-basic,none,none,False,False,basic,lru,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,2.0,718733000,,,5.787962984863642e-07,330623,0.24306534918221945,1.0,0,196583000,0,0,0,0,0,0,0,0,864,1941,"{""agent_role"": 6, ""assistant_delta"": 38, ""edit_diff"": 6, ""file_context"": 14, ""system_prefix"": 6, ""task_prefix"": 7, ""test_failure_summary"": 6, ""tool_observation"": 6}",4,587,
lru-system,none,none,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,2.0,718733000,,,5.787962984863642e-07,330623,0.24306534918221945,1.0,0,196583000,0,0,0,0,0,0,0,0,1497,1308,"{""agent_role"": 6, ""assistant_delta"": 38, ""edit_diff"": 6, ""file_context"": 14, ""system_prefix"": 6, ""task_prefix"": 7, ""test_failure_summary"": 6, ""tool_observation"": 6}",4,587,
kvflow-like,none,none,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,2.0,726557000,,,5.725634740288786e-07,387130,0.11369713731020714,0.6032085561497326,29625942016,209088000,0,0,0,0,0,0,0,1113,1261,431,"{""agent_role"": 52, ""file_context"": 15, ""system_prefix"": 52, ""task_prefix"": 52}",3,393,
asg-retention-v2-graph-only,none,none,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,2.0,718733000,,,5.787962984863642e-07,330623,0.24306534918221945,1.0,0,196583000,0,0,0,0,0,0,0,0,1571,1234,"{""agent_role"": 1, ""assistant_delta"": 3, ""edit_diff"": 19, ""file_context"": 26, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 2, ""tool_observation"": 1}",2,290,
asg-retention-v2-online,heuristic,heuristic,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,2.0,718733000,,,5.787962984863642e-07,330623,0.24306534918221945,1.0,0,196583000,0,0,0,0,0,0,0,0,1481,1324,"{""agent_role"": 31, ""assistant_delta"": 3, ""edit_diff"": 23, ""file_context"": 15, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 4, ""tool_observation"": 1}",3,450,
asg-retention-v2-trace-stats,trace_stats,trace_stats,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,2.0,718733000,,,5.787962984863642e-07,330623,0.24306534918221945,1.0,0,196583000,0,0,0,0,0,0,0,0,1296,1509,"{""agent_role"": 52, ""assistant_delta"": 3, ""edit_diff"": 38, ""file_context"": 24, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",1,159,
asg-retention-v2-oracle,oracle,oracle,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,2.0,718733000,,,5.787962984863642e-07,330623,0.24306534918221945,1.0,0,196583000,0,0,0,0,0,0,0,0,1478,1327,"{""agent_role"": 4, ""assistant_delta"": 34, ""edit_diff"": 7, ""file_context"": 9, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 4, ""tool_observation"": 4}",3,450,
asg-placement-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,2.0,720203976,,,5.776141396920031e-07,330623,0.24306534918221945,1.0,0,134027508,18098293,35099508736,100663296,0,0,0,0,0,1518,1287,"{""agent_role"": 31, ""assistant_delta"": 3, ""edit_diff"": 23, ""file_context"": 15, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 4, ""tool_observation"": 1}",3,450,
asg-prefetch-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,8,2.0,723607638,,,5.74897193111165e-07,330623,0.24306534918221945,1.0,0,118241366,31695038,31811698688,44040192,19531825152,33934021,42379524,253,0,1562,1243,"{""agent_role"": 31, ""assistant_delta"": 3, ""edit_diff"": 23, ""file_context"": 15, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 4, ""tool_observation"": 1}",3,450,
