accepted,reason,predicted_shared_kv_bytes_saved,predicted_wait_cost_ms,predicted_mesh_cost_ms,predicted_resource_delay_ms,predicted_jct_delta_ms,predicted_slo_risk,candidate_size,shared_kv_id,planned_start_ms,node_ids,baseline,arrival_rate_jobs_per_s,event_driven
True,accepted,14602888806.400002,0.0,19.7568495616,0.0,-272.30092656640005,0.0,2,sha256:189cf4f6f9e04f1e4e11d36545c0a19aca2cbcb501f9dbcb9c4f9dc74210cfca,3.7342412800000004,"debate_job_0_r0_proposer_1,debate_job_0_r0_proposer_2",waferagent_latency_safe,16.0,True
False,queue_pressure,0.0,0.0,0.0,0.0,0.0,1.0,1,sha256:189cf4f6f9e04f1e4e11d36545c0a19aca2cbcb501f9dbcb9c4f9dc74210cfca,3.7342412800000004,debate_job_0_r0_proposer_3,waferagent_latency_safe,16.0,True
True,accepted,14602888806.400002,0.0,19.7568495616,0.0,-272.30092656640005,0.0,2,sha256:c9ae75070adf4480e75e3ce89087a7329723b6fe299ec24d04b46275e59c92aa,3.7342412800000004,"debate_job_10_r0_proposer_1,debate_job_10_r0_proposer_2",waferagent_latency_safe,16.0,True
False,queue_pressure,0.0,0.0,0.0,0.0,0.0,1.0,1,sha256:c9ae75070adf4480e75e3ce89087a7329723b6fe299ec24d04b46275e59c92aa,3.7342412800000004,debate_job_10_r0_proposer_3,waferagent_latency_safe,16.0,True
True,accepted,14602888806.400002,0.0,19.7568495616,0.0,-272.30092656640005,0.0,2,sha256:c9ae75070adf4480e75e3ce89087a7329723b6fe299ec24d04b46275e59c92aa,3.7342412800000004,"debate_job_11_r0_proposer_0,debate_job_11_r0_proposer_1",waferagent_latency_safe,16.0,True
True,accepted,14602888806.400002,0.0,19.7568495616,0.0,-272.30092656640005,0.0,2,sha256:c9ae75070adf4480e75e3ce89087a7329723b6fe299ec24d04b46275e59c92aa,3.7342412800000004,"debate_job_11_r0_proposer_2,debate_job_11_r0_proposer_3",waferagent_latency_safe,16.0,True
True,accepted,14602888806.400002,0.0,19.7568495616,0.0,-272.30092656640005,0.0,2,sha256:c9ae75070adf4480e75e3ce89087a7329723b6fe299ec24d04b46275e59c92aa,3.7342412800000004,"debate_job_12_r0_proposer_0,debate_job_12_r0_proposer_1",waferagent_latency_safe,16.0,True
True,accepted,14602888806.400002,0.0,19.7568495616,0.0,-272.30092656640005,0.0,2,sha256:c9ae75070adf4480e75e3ce89087a7329723b6fe299ec24d04b46275e59c92aa,3.7342412800000004,"debate_job_12_r0_proposer_2,debate_job_12_r0_proposer_3",waferagent_latency_safe,16.0,True
True,accepted,14602888806.400002,0.0,19.7568495616,0.0,-272.30092656640005,0.0,2,sha256:c9ae75070adf4480e75e3ce89087a7329723b6fe299ec24d04b46275e59c92aa,3.7342412800000004,"debate_job_13_r0_proposer_0,debate_job_13_r0_proposer_1",waferagent_latency_safe,16.0,True
True,accepted,14602888806.400002,0.0,19.7568495616,0.0,-272.30092656640005,0.0,2,sha256:c9ae75070adf4480e75e3ce89087a7329723b6fe299ec24d04b46275e59c92aa,3.7342412800000004,"debate_job_13_r0_proposer_2,debate_job_13_r0_proposer_3",waferagent_latency_safe,16.0,True
True,accepted,14602888806.400002,0.0,19.7568495616,0.0,-272.30092656640005,0.0,2,sha256:c9ae75070adf4480e75e3ce89087a7329723b6fe299ec24d04b46275e59c92aa,3.7342412800000004,"debate_job_14_r0_proposer_0,debate_job_14_r0_proposer_1",waferagent_latency_safe,16.0,True
True,accepted,14602888806.400002,0.0,19.7568495616,0.0,-272.30092656640005,0.0,2,sha256:c9ae75070adf4480e75e3ce89087a7329723b6fe299ec24d04b46275e59c92aa,3.7342412800000004,"debate_job_14_r0_proposer_2,debate_job_14_r0_proposer_3",waferagent_latency_safe,16.0,True
